id,nme,shortnme
882,pfam00179,UQ_con
883,pfam00180,Iso_dh
884,pfam00181,Ribosomal_L2
885,pfam00182,Glyco_hydro_19
886,pfam00183,HSP90
887,pfam00184,Hormone_5
888,pfam00185,OTCace
889,pfam00186,DHFR_1
890,pfam00187,Chitin_bind_1
891,pfam00188,CAP
892,pfam00189,Ribosomal_S3_C
893,pfam00190,Cupin_1
894,pfam00191,Annexin
895,pfam00192,chitinase_2
896,pfam00193,Xlink
897,pfam00194,Carb_anhydrase
898,pfam00195,Chal_sti_synt_N
899,pfam00196,GerE
900,pfam00197,Kunitz_legume
901,pfam00198,2-oxoacid_dh
902,pfam00199,Catalase
903,pfam00200,Disintegrin
904,pfam00201,UDPGT
905,pfam00202,Aminotran_3
906,pfam00203,Ribosomal_S19
907,pfam00204,DNA_gyraseB
908,pfam00205,TPP_enzyme_M
909,pfam00206,Lyase_1
910,pfam00207,A2M
911,pfam00208,ELFV_dehydrog
912,pfam00209,SNF
913,pfam00210,Ferritin
914,pfam00211,Guanylate_cyc
915,pfam00212,ANP
916,pfam00213,OSCP
917,pfam00214,Calc_CGRP_IAPP
918,pfam00215,OMPdecase
919,pfam00216,Bac_DNA_binding
920,pfam00217,ATP-gua_Ptrans
921,pfam00218,IGPS
922,pfam00219,IGFBP
923,pfam00220,Hormone_4
924,pfam00221,Lyase_aromatic
925,pfam00223,PsaA_PsaB
926,pfam00224,PK
927,pfam00225,Kinesin
928,pfam00226,DnaJ
929,pfam00227,Proteasome
930,pfam00228,Bowman-Birk_leg
931,pfam00229,TNF
932,pfam00230,MIP
933,pfam00231,ATP-synt
934,pfam00232,Glyco_hydro_1
935,pfam00233,PDEase_I
936,pfam00234,Tryp_alpha_amyl
937,pfam00235,Profilin
938,pfam00236,Hormone_6
939,pfam00237,Ribosomal_L22
940,pfam00238,Ribosomal_L14
941,pfam00239,Resolvase
942,pfam00240,ubiquitin
943,pfam00241,Cofilin_ADF
944,pfam00242,DNA_pol_viral_N
945,pfam00243,NGF
946,pfam00244,14-3-3
947,pfam00245,Alk_phosphatase
948,pfam00246,Peptidase_M14
949,pfam00248,Aldo_ket_red
950,pfam00249,Myb_DNA-binding
951,pfam00250,Forkhead
952,pfam00251,Glyco_hydro_32N
953,pfam00252,Ribosomal_L16
954,pfam00253,Ribosomal_S14
955,pfam00254,FKBP_C
956,pfam00255,GSHPx
957,pfam00256,L15
958,pfam00257,Dehydrin
959,pfam00258,Flavodoxin_1
960,pfam00259,Xylose_isom
961,pfam00260,Protamine_P1
962,pfam00261,Tropomyosin
963,pfam00262,Calreticulin
964,pfam00263,Secretin
965,pfam00264,Tyrosinase
966,pfam00265,TK
967,pfam00266,Aminotran_5
968,pfam00267,Porin_1
969,pfam00268,Ribonuc_red_sm
970,pfam00269,SASP
971,pfam00270,DEAD
972,pfam00271,Helicase_C
973,pfam00272,Cecropin
974,pfam00273,Serum_albumin
975,pfam00274,Glycolytic
976,pfam00275,EPSP_synthase
977,pfam00276,Ribosomal_L23
978,pfam00277,SAA
979,pfam00278,Orn_DAP_Arg_deC
980,pfam00279,LTP
981,pfam00280,potato_inhibit
982,pfam00281,Ribosomal_L5
983,pfam00282,Pyridoxal_deC
984,pfam00283,Cytochrom_B559
985,pfam00284,Cytochrom_B559a
986,pfam00285,Citrate_synt
987,pfam00286,Flexi_CP
988,pfam00287,Na_K-ATPase
989,pfam00288,GHMP_kinases_N
990,pfam00289,Biotin_carb_N
991,pfam00290,Trp_syntA
992,pfam00291,PALP
993,pfam00292,PAX
994,pfam00293,NUDIX
995,pfam00294,PfkB
996,pfam00295,Glyco_hydro_28
997,pfam00296,Bac_luciferase
998,pfam00297,Ribosomal_L3
999,pfam00298,Ribosomal_L11
1000,pfam00299,Squash
1001,pfam00300,His_Phos_1
1002,pfam00301,Rubredoxin
1003,pfam00302,CAT
1004,pfam00303,Thymidylat_synt
1005,pfam00304,Gamma-thionin
1006,pfam00305,Lipoxygenase
